ORNEK_NO,old_id,new_id,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,PLANDAKI_MESCERE_TIPI,AKTUEL_MES_TIP,BONITET,BOLME_NO,EGIM,BAKI,RAKIM,PAFTA_NO,UTM_X,UTM_Y,IL_ADI,ILCE_ADI,DILIM_NO,ONCEKI_ARAZI,MEVCUT_ARAZI,STATU_VE_TESCIL,STATUSU,TKGM_2021_,TAPUCINSAC,PARSEL_TUR,ARAZI_KUL,ISLETME_DURUMU,ORMAN_FORMU,MULKIYET,KATLILIK_DURUMU,GELISIM_CAGI,KORUMA_AMACLI_ONLEM,KORUMA_AMACLI_ONLEM_SEKLI,İŞLETME_AMAÇLARI,ADAYA_ANIT_AGACI,ADAY_ANIT_AGACI_TURU,ADAY_ANIT_AGACI_BOY,ADAY_ANIT_AGACI_CAP,ADAY_ANIT_AGACI_UTMX,ADAY_ANIT_AGACI_UTMY,DOGAL_GENCLIK,DAGILIM,DIGER_VEJETASYON_TURU,DIGER_VEJETASYON_TIPI,YUZEYSEL_TASLIK,DIS_TOPRAK,DIS_TOPRAK_ORTULU,DIS_TOPRAK_CIPLAK_DURUMU,OLU_ORTU_TIPI,OLU_ORTU_TIPI_ESAS_TUR_KARISIMI,OLU_ORTU_KALINLIGI_MUL,OLU_ORTU_KALINLIGI_HUMUS,OLU_ORTU_CURUNTULU_MUL,MUTLAK_DERINLIK,FIZYOLOJIK_DERINLIK,H1_HORIZON_TASLIGI,H2_HORIZON_TASLIGI,H3_HORIZON_TASLIGI,H4_HORIZON_TASLIGI,H1_HORIZON_KALINLIGI,H2_HORIZON_KALINLIGI,H3_HORIZON,H4__HORIZON,ANKAYA,ANKAYA_NOT,HEDEF_TURU,HEDEF_TURU_ACIKLAMA,DOGALLIK,ORMAN_ZARARLILARI,YAPRAK_KAYIP_ORANI,ENVANTER_EKIBI,ROPERDEN_ORNEK_ALANA_GIDIS,DIGER_GOZLEM,BAG_1,BAG_2,ENVANTER_TARIHI,YIL,BLOK
16748,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Alt Yamaç,İSTANBUL,EDİRNE,EDİRNE,26.657461,41.92855,Çka0,Çka0,2,141,13,Doğu,270,E17-a2,471600,4641900,EDİRNE,Lalapaşa,35,Orman,Orman,Statüsüz,,Orman,İĞREK KAYA DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,A,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Yok,,,,10,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,"0,20",,65,65,5,10,10,,10,20,45,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Yapay,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,Nokta Çka0 olmasına rağmen burada dikim yapılmamış olup karaçalılıktır.,Özel Ağaçlandırma sahasından kuzey istikametinde 100 metre gelindi. Derenin 15 metre üzerinde karaçalı kaplı sahadır,,23-07-2019,2019,4
20212,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Orta Yamaç,İSTANBUL,EDİRNE,EDİRNE,26.693515,41.955672,Mlab2,Mlab2,1,71,10,Kuzey,413,E17-a2,474600,4644900,EDİRNE,Lalapaşa,35,Orman,Orman,Statüsüz,,Orman,TEKKE KORU DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Yok,,,,1,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,"0,20",,95,95,,2,5,,55,65,35,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,Bakımsız bir orman,,,23-07-2020,2020,5
20412,,,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Taban,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.696069,41.41525,Msbc2,Msbc2,3,3,0,Güney Doğu,50,F17-a2,474600,4584900,EDİRNE,Uzunköprü,35,Orman,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Az,Heterojen,,Yok,,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,,"0,20",,95,95,,,,,30,40,40,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,Sosyal baskılı alan.,Yoldan 100 m ormana gidildi.,,22-07-2020,2020,5
20492,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum+Sürgün ,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Tepe,İSTANBUL,EDİRNE,UZUNKÖPRÜ ,26.697071,41.199067,Çkbc3,Çkbc3,3,186,5,Düzlük,83,F17-d2,474600,4560900,EDİRNE,Uzunköprü,35,Bilinmiyor,Orman,Statüsüz,,Orman,BÜLBÜL KORUSU DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,İki Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Hayır,,,,,,Orta,Heterojen,,Yok,,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı + İbreli Karışık,1,,1,110,110+,5,5,5,,30,30,50,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Doğala Yakın,Yıldırım,Az Hasta,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 295° açı ile 469 m mesafededir.",Yok,"Nokta, toprak profilinden 120° açı ile 12,8 m mesafededir.",,02-08-2023,2023,3
23854,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Tepe,İSTANBUL,EDİRNE,LALAPAŞA,26.729827,41.928743,Z,Z,0,160,2,Düzlük,340,E17-a2,477600,4641900,EDİRNE,Lalapaşa,35,Ziraat,Ziraat,Statüsüz,,Orman Degil, ,2,ZİRAAT,Yok,Açıklık Alan,Özel Orman,Yok,NA,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Hayır,,,,,,Yok,Yok,,Yok,,Çıplak,,Yumuşak,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Duzluk,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,"Nokta, alınan koordinatlardan 297° açı ile 140 m mesafededir.",Belirlenen nokta tapulu alana denk gelmektedir.,Yok,,04-08-2023,2023,3
23874,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,EDİRNE,EDİRNE,26.730055,41.874703,Z,Z,0,287,11,Düzlük,232,E17-a3,477600,4635900,EDİRNE,Lalapaşa,36,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,,ZİRAAT ALANI,,23-07-2020,2020,5
24034,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Taban,İSTANBUL,EDİRNE,EDİRNE,26.731855,41.442362,MzGnab2,MzGnab2,1,520,8,Kuzey Doğu,100,F17-a2,477600,4587900,EDİRNE,Uzunköprü,35,Orman,Orman,Statüsüz,,Orman Degil, , ,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Hayır,,,,,,Az,Heterojen,,Yok,5,Örtülü,Yabanlaşmış,,Çürüntü Mul,Yapraklı Karışık,1,,1,110,110,,5,10,,,10,100,,Numune Alındı,,,Bilinmiyor,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya 90 derece 23 metre ,yoğun diri örtü tespit edildi,"profilden noktaya 148 derece 10,50 metre ",,09-01-2021,2021,1
24124,,,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Açıklık Alan,YAPRAKLI,Boşluklu Kapalı,Orta Yamaç,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.73285,41.199156,Ö.A,Ö.A,0,192,0,Güney Batı,104,F17-d2,477600,4560900,EDİRNE,Uzunköprü,36,Orman,Orman,Statüsüz,,Orman,orman, ,İSKAN,İşletilmeyen ,Açıklık Alan,Devlet Ormanı,Yok,NA,1,Şekil Doldurulacak,ÖZEL AĞAÇLANDIRMA,2,,,,,,Yok,,,,,,Yeşillenmiş,,Yok,Yok,,,,101,101,,,,,50,60,41,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Yapay,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,CEVİZ ÖZEL AĞAÇLANDIRMA SAHASI,ÖZEL AĞAÇLANDIRMA SAHASI (CEVİZ),,21-07-2020,2020,5
24203,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Üst Yamaç,İSTANBUL,TEKİRDAĞ,MALKARA,26.733833,40.955939,Me,Me,0,641,14,Düzlük,129,G17-a2,477600,4533900,Tekirdağ,Malkara,36,Mera/Çayır,Mera/Çayır,Statüsüz,,Orman Degil, , ,İSKAN,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,,MERA,,05-08-2019,2019,4
24236,,,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Normal Kapalı,Alt Yamaç,İSTANBUL,TEKİRDAĞ,MALKARA,26.734373,40.820814,Çzc3*,Çzc3*,3,53,19,Batı,182,G17-a3,477600,4518900,EDİRNE,Keşan,36,Orman,Orman,Statüsüz,,Orman,Orman, ,ORMAN,İşletilen Orman,Değişikyaşlı ve Düşey Kapalı,Devlet Ormanı,Çok Katlı,C,2,,En Yüksek Miktarda Yapacak Odun Üretimi,2,,,,,,Yok,,,,15,,Yeşillenmiş,,Ham Humus,Saf Yapraklı,,"0,20",,75,76,5,10,25,,40,50,51,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Yapay,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,,,ORMAN YANGIN ZONU VE DERE YATAĞI ARASINDA,,27-07-2019,2019,4
28023,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,EDİRNE,EDİRNE,26.766011,41.928823,Z,Z,0,161,10,Düzlük,341,E17-b1,480600,4641900,EDİRNE,Lalapaşa,36,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,- EN YAKIN AĞACA 7 M,ZİRAAT ALANI,,23-07-2020,2020,5
28173,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,EDİRNE,EDİRNE,26.767477,41.523507,Z,Z,0,520,7,Düzlük,102,E17-c4,480600,4596900,EDİRNE,Havsa,35,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,,Yola 75 metre olan nokta açıklığa düşüyor.,,05-08-2020,2020,5
28213,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.767863,41.415417,Z,Z,0,8,9,Düzlük,94,F17-b1,480600,4584900,EDİRNE,Uzunköprü,36,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,ziraat,Yoldan 50m güneye gidildi. Ornek alan açıklığa düştüğünden envanter alınmadı.,,22-07-2019,2019,4
28223,,,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.767959,41.388395,Z,Z,0,13,8,Düzlük,100,F17-b1,480600,4581900,EDİRNE,Uzunköprü,36,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,NA,,,Kadastro Dışı Ağaçlık Alan ,,,,,,,Yok,,,,,,Yok,,Yok,Yok,,,,,,,,,,,,,,Numune Alınmadı,Ulaşılamadı,,Hedef Tür Yok,Açıklık Alan,Yok,Yok,ERGİN ÇAĞATAY ÇANKAYA,,,Yoldan 50m batiya gidildi. Ornek alan açık alana denk geldi. Envanter alınmadı.,,22-07-2020,2020,5
28233,,,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Boşluklu Kapalı,Tepe,İSTANBUL,EDİRNE,UZUNKÖPRÜ ,26.768055,41.361372,Me,Me,0,13,2,Düzlük,115,F17-b4,480600,4578900,EDİRNE,Uzunköprü,35,Mera/Çayır,Mera/Çayır,Statülü,Diğer,,,,,İşletilmeyen ,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,NA,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Hayır,,,,,,Az,Heterojen,,Yok,5,Örtülü,Yeşillenmiş,,Çürüntü Mul,Saf İbreli,1,,1,85,85,,5,15,70,,10,65,10,Numune Alınmadı,Ulaşılamadı,,Bilinmiyor,Doğala Yakın,Yok,Sağlıklı,ERGİN ÇAĞATAY ÇANKAYA,araçtan noktaya270 derece 18 metre ,NOKTAYA 20 - 30 METRE MESAFEDE MEŞE TÜRLERİ GÖZLENDİ ANCAK NOKTADA BU TÜRLER GÖRÜLMEDİ . NOKTADA DİKENLİ ARDIÇ VE KARAÇALI GÖZLENDİ,"profilden noktaya 298 derece 13,70 metre ",,09-01-2022,2021,1
